Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
5pJQzKEAqdcEW6W48rpaWtMBdQ7H41EYNzyB7TTceiPU,879468.68,,,
BUpHfN5CNXeybXC4M4VtEsbPZ6BZmuZWfQ4Jk7C2dHhG,867737.55,,,
5zvcHKfQYzEmwej8bSTMJNaQjf6vPzSdJgFgJ3DDDY3Y,860940.30,,,
zDBbPhvt3HeRomm2CdWqdEMCYsmQHcjg8rQaXmjPGHo,850109.84,,,
8Qnp5yyLq6xPpegsEPcjYNQvqpzASx2Ar9EJhPNf5u38,850000.00,,,
Cb4krsYnEoGfT7hcDsZrp4wiX2UPauKA5nKwEEu3m6uJ,841700.60,,,
3ND5aia3RTBKa1tLho2MqmckRrRnuVn6SYV2pY2UJPrY,840709.04,,,
BvPfskZRjCfAAnSpYattwApcfPc3qFNwEU4iKH9vTSgg,840000.00,,,
kfC1QJS7MCH3VXYxjcWmerW59SQKzkLvNbUXLnrd78f,831163.23,,,
6M6mhGYGSrazwkgB69Q8JJZAQij6zFFFF9a82FVnHEHA,829833.52,,,
AdfkNiA7gg3RJ4fyLZA4o5LCAG1TweLnALzCH1cpapmW,825000.00,,,
7k6GWyLUzCYMqvzk6Zaf8oLP83pC2NNbdut3RdBTFyCe,820079.60,,,
D3JYTEiUNNWSuLBnnjdY6zpQbCYKhtvqHfdm2STCBDgR,818268.50,,,
6VRVWXNb7fhahqL9fEGZTbxj6oTwhjstmCXzb7xSw5na,815021.19,,,
4KArrq18MraZCDhMnLSp6gszDUxDV9YvoJJc83ytymQx,808857.00,,,
GUnZEPYDK6C8orN2Vv9KNeK37yn5iHyPZpyM3cPt7pni,800703.49,,,
EtHbkJJKRLaRaMTFrCUV3tdPcj678jjphhSLeXHvc7kG,800361.25,,,
2kN6XgaBRikJ2SYAVvUrvSj2My7yKEHDA2vd8o4LB4xp,800004.55,,,
AUFtUTXKTat8HZcbHaA9p8STqqLxtimxKhY7BYiyUirr,800000.10,,,
Dqgw7yHNLCp9o6dLC4Bq6N5iB5nMgLsRvbcwx8jWyAiS,793793.55,,,
F5BwXazdmZjM5wYFZEhf18P9zdg5ZVAyUwwCVrgwfhsd,790041.49,,,
CJhpTiUXqcBJQZVr5TT6kyu8WXg6QdQuykfqygDyBtEB,785575.24,,,
D6kLPZVdqqBw3np76Fg2xjA9JUwbsf6wPso1XkMV2mjy,784053.73,,,
GgK1BBe5dJ3DXufN4r373UwRQS9a8TkeCDJSnKTvURkn,777777.70,,,
DdzeVbLyDdE4vgLbCVsmzJdBK55z33c2ScoeqXYND4mX,772064.70,,,
13kVg3cmkD4ZGtCDXBr8azbY7x947WLBZfuTiNFVc7N6,769323.07,,,
6wJ7W3oHj7ex6MVFp2o26NSof3aey7U8Brs8E371WCXA,767199.55,,,
46awYYmrncDQfM1DoqcAGcg6WoEJo3txAwY698FXN14R,763550.06,,,
GyeGTKk19otD8D27U8vxY5DoUtkhTsGLPdQduep6fD3g,763532.91,,,
H56SeL3ke9MT7ryHs7u2Bf8kLPGvEQ61kryznRK2Mq7w,752776.38,,,
8d4eNiDeUDWujo6yYy16YjJyvutz49CUDX7sj2PBLpbd,750802.82,,,
7PypumCQ4wco2bV4UAjCwbrdCdnWwyAacjxRhX3yuz8R,738517.08,,,
9gcyGYMNf8noa6C4MG4nTqYFk2LQ2fLKwx14ckKUGqdT,735918.18,,,
EN6wXeg7j3qcyrrAggruRKfmu1sk4qAvHbKLsttfMXFC,729832.22,,,
9gbCVg3HNWKHxiBpP9RnQn3AGERgBZp8w8b3Bzy8ruVV,726976.64,,,
WVP9dmT87EKugPH9q7pkkxGdKgHH1NSyErrzNoz1Pxs,725223.55,,,
